player_name,team,position,salary_2023_24
Jeremiah Robinson-Earl,NOP,PF,2196970
Lindy Waters III,DET,SF,2196970
Sam Merrill,CLE,SG,2164993
Luka Garza,MIN,C,2162606
Keon Johnson,BKN,SG,2162606
Vit Krejci,ATL,PG,2162606
Neemias Queta,BOS,C,2162606
Keon Ellis,SAC,SF,2120693
AJ Green,MIL,SG,2120693
Colby Jones,WAS,SG,2120693
Vincent Williams Jr.,MEM,SF,2120693
Sam Hauser,BOS,SF,2092344
Jericho Sims,MIL,C,2092344
Jay Huff,MEM,C,2088033
Charles Bassey,SAS,C,2087519
Bol Bol,PHX,PF,2087519
Thomas Bryant,IND,C,2087519
Alec Burks,MIA,SG,2087519
Vlatko Cancar,DEN,PF,2087519
Seth Curry,CHA,SG,2087519
Spencer Dinwiddie,DAL,PG,2087519
Taj Gibson,CHA,C,2087519
Talen Horton-Tucker,CHI,SG,2087519
Joe Ingles,MIN,SF,2087519
James Johnson,IND,PF,2087519
Tyus Jones,PHX,PG,2087519
DeAndre Jordan,DEN,C,2087519
Tyler Kolek,NYK,PG,2087519
Luke Kornet,BOS,C,2087519
Damion Lee,PHX,SG,2087519
Kyle Lowry,PHI,PG,2087519
Sandro Mamukelashvili,SAS,C,2087519
Doug McDermott,SAC,SF,2087519
Jordan McLaughlin,SAS,PG,2087519
Patty Mills,LAC,PG,2087519
Markieff Morris,LAL,PF,2087519
Monte Morris,PHX,PG,2087519
Cameron Payne,NYK,PG,2087519
Scotty Pippen Jr.,MEM,PG,2087519
Mason Plumlee,PHX,C,2087519
Taurean Prince,MIL,PF,2087519
Garrett Temple,TOR,SG,2087519
Tristan Thompson,CLE,C,2087519
Gary Trent Jr.,MIL,SG,2087519
Delon Wright,NYK,PG,2087519
Guerschon Yabusele,PHI,PF,2087519
Duop Reath,POR,C,2048780
Jaden Hardy,DAL,SG,2019699
Caleb Houstan,ORL,SF,2019699
Josh Minott,MIN,SF,2019699
Andrew Nembhard,IND,PG,2019699
Jabari Walker,POR,SF,2019699
Jaylin Williams,OKC,C,2019699
Jose Alvarado,NOP,PG,1988598
Toumani Camara,POR,PF,1891857
Ricky Council IV,PHI,G,1891857
Mouhamed Gueye,ATL,PF,1891857
G.G. Jackson,MEM,PF,1891857
Andre Jackson Jr.,MIL,SG,1891857
Trayce Jackson-Davis,GSW,PF,1891857
Maxwell Lewis,BKN,SF,1891857
Chris Livingston,MIL,SF,1891857
Leonard Miller,MIN,SF,1891857
Julian Phillips,CHI,SF,1891857
Jalen Pickett,DEN,PG,1891857
Craig Porter Jr.,CLE,G,1891857
Rayan Rupert,POR,SG,1891857
Gui Santos,GSW,SF,1891857
Hunter Tyson,DEN,SF,1891857
Jordan Walsh,BOS,SF,1891857
Jalen Wilson,BKN,PF,1891857
Jonathan Mogbo,TOR,C,1862265
Jamal Shead,TOR,PG,1862265
Johnny Furphy,IND,SG,1850842
Pacome Dadiet,NYK,SG,1808080
Justin Champagnie,WAS,SF,1800000
Jae Crowder,SAC,SF,1655619
Paul Reed,DET,C,1427671
Karlo Matkovic,NOP,PF,1407153
Landry Shamet,NYK,SG,1343690
Bobi Klintman,DET,SF,1257153
Adem Bona,PHI,C,1157153
Cameron Christie,LAC,SG,1157153
Oso Ighodaro,PHX,C,1157153
Bronny James,LAL,PG,1157153
Pelle Larsson,MIA,SG,1157153
Antonio Reeves,NOP,SG,1157153
Tyler Smith,MIL,SF,1157153
Jaylen Wells,MEM,SG,1157153
Ariel Hukporti,NYK,C,1064049
Jordan Miller,LAC,SF,1050000
Jamison Battle,TOR,SF,1000000
Moussa Diabate,CHA,PF,957763
Lonnie Walker IV,PHI,SG,780932
Torrey Craig,BOS,SF,779820
Ben Simmons,LAC,PG,755826
Jared Butler,PHI,PG,745726
Alex Len,LAL,C,743829
Markelle Fultz,SAC,PG,731831
Keshad Johnson,MIA,PF,724883
Tyrese Martin,BKN,SF,635853
Jaden Springer,UTA,PG,634437
Javonte Green,CLE,SG,599862
Brandon Boston Jr,NOP,SG,596581
Jeenathan Williams,HOU,SG,515881
Bismack Biyombo,SAS,C,503884
Jaylen Clark,MIN,SG,492323
Dominick Barlow,ATL,PF,491887
Ryan Rollins,MIL,SG,491887
Quinten Post,GSW,C,438920
Pat Spencer,GSW,G,438810
Justin Edwards,PHI,SG,425619
Lamar Stevens,MEM,SF,383912
Tony Bradley,IND,C,330394
Kevin Knox,GSW,SF,263939
P.J. Tucker,NYK,PF,246833
Jordan Goodwin,LAL,PG,223718
Isaac Jones,SAC,C,152957
Chuma Okeke,CLE,PF,115743
Drew Timme,BKN,F,113055
Colin Castleton,TOR,PF,100000
A.J. Lawson,TOR,F,100000
Terence Davis,SAC,SG,64301
Elfrid Payton,NOP,PG,51527
Brandon Williams,DAL,PG,47989
J.D. Davison,BOS,PG,11997
Braxton Key,GSW,SF,11997
